	project	species	data_type	averg_reads	Annotation	QC	qc_number	length_reads
1	TPLL	Human	RNA	14167423.69	10029070.85	good 	38.08692308	101
2	TPLL_miR	Human	miR	2329022.273	147002.0058	medium  bad	37.45301887	46
3	LGL	Human	RNA	45870497.19	76196993.25	good 	36	101
4	LGL_miR	Human	miR	14458359.24	431474.8824	medium	39	46
5	LVCM	Mouse	miR	28720654.78	1671007.135	medium	38	46
6	Exha	Mouse	RNA	57173076.67	41233762.56	good 	37	101
7	Exha_miR	Mouse	miR	23283046	6195662.417	medium	39	46
8	TRDC6	Mouse	RNA	21169681.2	15194945.9	medium	36	101
9	MLL	Human	RNA	62603298.58	40683643.17	good 	38	101
10	Pax5	Human	RNA	8471406.533	2634422.059	good 	36	101
11	mm_tumor	Mouse	miR	29040808.04	6276748.819	medium	37	46
