symbol,B80,B81,B86,B94,B95,B96,LGL030,LGL037,LGL047,LGL052,LGL141,LGL148,LGL150,LGL002,LGL018,LGL028
SLC14A1,0.0417822363,0.1009867335,0.0107900198,0.029742294,0.0228964168,0.0242108593,0.3548580461,0.4565445232,0.2931774767,0.608451993,0.5298850151,0.8523898747,0.5322857631,0.5999018261,0.5129835202,0.6518240962
ANKS1B,0.0011533934,0.0011974002,0.0006632606,0.000523163,0.0003706269,0.0014523116,0.1284891539,0.0050422909,0.0155926931,0.0263813859,0.0455214456,0.0241073978,0.0100254561,0.2054563975,0.0548880866,0.0369195308
CST3,96.2457894647,9.363931337,13.0233663043,2.1755339877,5.3077540485,57.2163075841,1.2737061525,0.4034483104,0.7380271392,0.5626210299,0.1397255222,1.5226797739,0.2142732134,0.4173435563,0.6185115155,0.168818155
IER5,166.9885405803,73.994389119,130.8048430595,82.540485568,89.1366789955,93.3669950607,24.2777339671,13.641203306,11.3454019851,23.5637580259,18.6999174471,43.0940258752,22.4760782008,14.1583242951,17.0018563606,21.5748474023
IFI30,274.5920065458,26.6624601614,47.8172879378,6.258702275,16.9087177521,165.8974682039,4.2075394041,4.7948818175,1.7483458907,0.9821682785,0.1803231458,1.8184531874,2.1990386584,1.5896993511,5.4378432893,2.4048286587
CSRNP1,97.4840924199,26.1420400351,63.0365064319,95.4943031456,43.494498043,41.4182442333,17.1982877793,4.4680940466,4.7516032579,2.3742076309,4.9390735716,9.3166231423,4.4824692127,5.0802719673,14.2734511813,2.7686325378
KCTD6,3.7633142515,2.6456995543,3.4864170466,3.3168907512,3.7960389642,3.1990594869,0.9134920435,1.4470088778,1.1130892162,1.1281674614,0.7975475456,1.4476499732,1.7180533443,1.6030022648,0.7914683349,1.521415364
GDI1,2.8599123657,4.719133436,3.4757147683,2.0871563935,4.2003059155,3.1403832829,11.2663603924,8.512536942,7.464114624,11.678914757,10.7468373238,15.948033073,8.6528647462,12.6074049141,12.033468826,13.8157200915
NXT1,25.8041296234,30.2668855877,33.4090914018,17.4664716591,16.2263951502,20.6617391357,12.0467011105,6.5612339119,5.9267865067,5.9330323358,9.6203384968,9.0891932816,5.3603886585,4.8212767828,8.2539712308,4.6124224803
SLC30A1,16.1923697811,5.2457158957,11.8797185612,14.7633031658,10.8506682773,17.2886133621,5.2337126476,1.4555585538,1.7034593737,1.7312631311,1.8192607233,1.5411952569,3.6525465604,0.6575244319,1.3303340156,1.7164451819
BEST1,339.4547065882,120.1926861531,115.7191797541,101.6596538208,101.8364126987,245.3589402499,48.9320243139,36.5659079098,37.6944544751,23.6906609447,41.4841418741,28.8018100043,36.810147753,33.6996649059,61.8921299906,23.9256795439
OTUD1,54.2927812811,20.7368844226,76.8554387149,45.6199857887,40.4589080198,51.5116396206,12.3013973544,11.5559922547,19.9068547395,12.4771789046,7.3660684743,13.0459538062,9.9038807984,14.5765117997,19.3554120029,9.9183109856
NOP53,39.2300669792,49.4135722958,43.6321159648,43.5805758126,40.202234462,32.498322498,25.9470878632,16.5086080012,22.4405343327,17.6328616923,15.1878839404,14.7194715558,22.2096349333,15.492333368,26.1705267778,20.2012612285
PSAP,243.4831515873,43.3455795856,60.9733029422,44.6896260107,66.2035328649,176.2597445038,15.8878196294,22.3211517448,22.4692877994,16.7303180632,12.5603793691,21.7374733746,26.3949459765,14.7012362959,17.1322360619,15.0442074158
ACAD11,0.0418493159,0.117915823,0.0272875097,0.0846105138,0.1028513703,0.0377171283,0.6122457182,0.2156035024,0.37514832,0.5062248161,0.5409009176,0.9913115749,0.2282200956,0.7365966332,0.4905063221,0.3047210455
PIM3,182.2123401972,107.2806873271,103.435701968,178.6152810739,133.3543079573,143.6855120932,52.9354604944,44.8066259028,19.4778823062,6.4427602605,31.625879952,22.6222530514,20.7672899376,23.4341746431,26.5430112193,12.6892784654
HMGA1,8.1001477465,13.19596458,6.3230152777,9.4111822789,7.3795155377,7.3878332529,2.8788076496,2.6358849332,2.308899887,1.8600846474,4.4576911505,2.5189468223,3.0514301554,2.5052096902,4.6665772515,2.1252282471
SLC3A2,8.4279678135,8.0253769553,7.6033323868,15.4890136541,14.053863858,8.1400339808,5.198414009,3.8549041813,4.7369408153,4.1246808195,3.4658153539,3.7132900668,5.5746020429,3.1941979656,3.3004160063,3.9173005676
FTL,2835.3359394178,1203.9599437376,1127.8956156394,793.8555766418,1029.3969260567,2664.50820918,520.5962846378,549.5596725987,490.7429916822,435.8030232103,387.6915270424,421.5691014526,358.539592292,333.5332657806,507.8756065632,418.9982081972
FTH1,822.5630578456,289.0528165113,279.2710322024,243.7030755839,245.3359566235,625.4440583256,130.7167475207,90.9277949242,100.1048645488,61.9735546362,104.4672027222,75.1181687911,90.6435235421,92.6764596087,157.0158647918,61.760224875
ATP6V0C,20.437067248,20.1944183825,16.6426936241,17.8757407226,20.8719988363,24.0142578154,10.0306373816,8.284830295,8.5952495896,6.1986332583,11.6949270784,8.2154782291,7.755222734,5.9510171723,12.0217085976,6.8485748537
RPL13,86.9799648536,123.4860241499,131.7503692379,73.2745815693,82.221795661,65.4217731704,52.6281923595,33.1427080915,55.5006291899,39.951031132,30.5945231204,37.5249478546,37.1960873499,36.4324913812,50.9725619503,40.7591643297
RPL15,99.0088779823,88.5959484141,92.9306056758,83.4723921484,98.8611741883,81.0895638608,50.625528126,54.5185209515,56.8725812921,51.3902909309,40.3291387246,48.9980628923,46.517687126,44.3186101388,66.9990522281,53.5456203783
STARD9,0.013444812,0.0298173534,0.021016889,0.0687057659,0.0192473364,0.0164294762,0.4798114128,0.1274892267,0.0920052793,0.1852297217,0.2309641395,0.2253181835,0.1305633285,0.2622629162,0.1504976608,0.2360364833
RACK1,47.5530533468,53.839324074,49.9223434235,34.4354962297,43.3633518883,39.8292407399,24.2346830869,25.3304898899,29.5202348613,22.6258272818,24.1329068052,22.8270839382,22.3193416554,20.1724586864,29.9917023727,25.4847713931
PIK3R3,0.0494119275,0.0252790966,0.0125610908,0.03543968,0.0223972389,0.0171299645,0.3539422467,0.113361641,0.06533601,0.2293924183,0.1951040555,0.2124964502,0.1139019808,0.2708703428,0.197655277,0.1292438889
NKIRAS1,14.3548852659,13.0836398421,13.4345486972,12.2116606881,14.4916683179,11.8762423383,7.5825926047,8.0536235263,8.4772008729,7.8478052016,6.2550798985,7.6193106575,6.7967516585,6.715775527,10.0983010055,8.0108176712
EEF1A1,847.6040205778,1129.3628171166,1153.5950133584,878.1117347688,1098.2827223521,717.4577429526,471.3710844832,394.9975641282,673.4738207237,443.4742082391,367.1550894073,437.6967315423,442.4348482318,368.3317081398,610.9080221632,472.6189718461
