symbol,m1_nopep,m2_nopep,m3_nopep,m4_nopep,m1_onexpep,m2_onexpep,m3_onexpep,m4_onexpep,m1_multipep,m2_multipep,m3_multipep,m4_multipep,m5_multipep
Synpo,0.0559198866,0.0777457381,0.0698342378,0.0694372721,0.517913752,0.4868577672,0.5784276642,0.5873283705,1.2798469887,1.2551252967,1.2884104052,1.4359657038,1.5664143121
Prss16,0.2446791404,0.2985354722,0.2621432974,0.2189187697,3.3526069386,4.5493492019,3.8006781818,2.7933650819,2.0998663455,2.0631565597,2.2926177753,2.0286689422,2.8012712434
NA,0.446235978,0.9100333748,0.5334563128,0.4504418202,10.6665067186,13.8631749397,15.773790793,8.8085456518,3.7205301144,4.7918808815,5.2004397706,4.5942557538,5.5838020249
Ptk2,0.1341431587,0.1289839992,0.0827914461,0.162848463,0.0154620906,0.0123742443,0.0144728185,0.0147084967,0.0280547472,0.0324160104,0.0256229645,0.0338707375,0.025479096
Tspan2,0.0320623905,0.033935113,0.0342885043,0.0252039637,0.4289213986,0.4917970794,0.5786037587,0.3101338855,0.6466165819,0.9415059467,0.6558157219,0.8983803684,1.3310807582
Cd40lg,2.2168032499,2.8153716089,2.53941985,1.4890140253,0.2375347733,0.2131912597,0.2345350337,0.1375197762,0.2523104879,0.2470314368,0.1929628792,0.1827623854,0.2055872581
Cables1,0.0639712193,0.0569808737,0.0611726487,0.0564493761,1.4686457194,1.4318250557,1.3756098203,0.6240665663,1.9064979155,2.0983536343,1.27862476,3.1524183918,3.2661085675
Dntt,2.7092581479,2.3946477663,2.0076224189,2.3759056155,0.4254369292,0.2922890672,0.4348619312,0.4416534045,0.0522191032,0.0385187602,0.0479792602,0.0337404796,0.0505114187
Lag3,0.1855910857,0.280634605,0.2405171491,0.1879829868,3.562993258,7.0460057958,6.1554578371,2.3245545857,21.2863612283,15.980062538,23.2881837284,17.5505052093,17.5232493955
Cxxc5,0.6457577189,0.6213975884,0.6463672333,0.6713487835,0.208193118,0.1814798867,0.217995358,0.218193039,0.4367529356,0.442336422,0.4177366678,0.4372174821,0.4138521596
Tbx21,0.575914475,0.7492681329,0.6022456731,0.7585593787,2.3534980889,3.1728848342,3.2957387795,2.9263049489,4.1801541169,3.8137663318,3.5762563786,4.542768624,3.5968439642
Plscr1,0.1078059103,0.1979654386,0.1381564028,0.110821628,1.4375989174,1.517860135,1.4338962717,0.7913678095,5.9007065631,5.4293440371,5.9444081389,5.4825977328,5.3565466729
Bcat1,0.0317404868,0.0469808186,0.0361967981,0.0352984036,0.1791311992,0.2359330775,0.252167365,0.2013364545,1.7842711687,2.0440006142,1.9062784203,2.881899837,2.1721064405
Ramp1,0.651014391,0.5095761755,0.6987694708,1.0974650664,0.0602830326,0.0634288276,0.0886485129,0.0832655929,0.0637468359,0.0483622743,0.0380722026,0.0385317841,0.0633935935
Ctla4,1.4864888194,1.32096603,1.3216083581,1.5357121465,9.3906760854,7.2769426005,6.9631766346,5.9362727178,10.8069989471,11.8923809162,10.0038118752,14.9027435828,17.4699250526
Trat1,0.87157013,0.9914003525,0.7889989368,0.7811465172,0.1601852355,0.0674573668,0.1329445002,0.155181078,0.0455984382,0.0459922822,0.0396277247,0.0352815628,0.0528839179
Galnt10,1.4086098732,1.5079466503,1.3017195845,2.0483347916,0.2563519115,0.3081490562,0.4614979592,0.3650588905,0.0726764269,0.0779312092,0.0717767668,0.0783610298,0.0709868048
Ptprj,0.1453071473,0.2051738104,0.1577154601,0.1534461405,0.7033165694,0.8135606547,0.8018289232,0.7045590041,0.7380871006,1.1014129626,0.6303245141,1.1063150029,1.1255802487
Ccdc50,0.4570463549,0.7950421431,0.5019510026,0.5825677608,1.9304603978,2.0579705854,2.2265860957,2.1119056835,4.6436296457,6.1912914573,4.6214589717,5.2805784589,4.9403430398
Erg,0.0095623588,0.0131584171,0.0122697967,0.0100598955,0.0896981967,0.1213293116,0.1067810162,0.0753397558,0.1542005873,0.2973727543,0.1354166475,0.1538899916,0.2754042301
Sh3pxd2a,0.3703878876,0.5374323333,0.3868345014,0.5267943923,0.0737241647,0.1236688037,0.1072315129,0.0721436488,0.0184123628,0.0218434973,0.0215935308,0.0192586779,0.0254320353
Myo6,0.4898506993,0.5860682326,0.6050766863,0.2288062427,0.0559804174,0.0485680567,0.0638813692,0.0552812368,0.0378372556,0.0562940469,0.0404787455,0.0350427793,0.0432254648
Slc6a19,1.2293820186,1.8820289807,1.5806466893,1.2991233337,0.2985095461,0.3915983978,0.3186803275,0.24353417,0.0652295008,0.0481843294,0.0547666364,0.046767993,0.0552017556
Iigp1,0.629921296,1.0163745006,0.6985084205,0.4303284123,9.6158139547,6.3977073287,8.5505140632,14.7119402201,0.6741887891,0.8082013883,0.748207546,1.8290727127,1.3522528933
